state,year,STDIR_amt,STDIR_n,STDIR_npos
CO,2012,0.268057566070081,-0.00710215310333207,0.0130753138075315
CT,2012,0.358435445486427,-0.0659074733096086,-0.0525540455934888
DC,2012,-0.524558503179643,-0.602223510554855,-0.594053097345133
DE,2012,0.0376379244431357,-0.0927991886409736,-0.0737618545837724
FL,2012,0.38848065375019,0.222137248354679,0.250221937542842
GA,2012,0.339845434314325,0.16437049597287,0.191361925433415
HI,2012,-0.317183203086729,-0.345049427271301,-0.32183908045977
IA,2012,0.252564907844762,0.00417633410672846,0.0205103514684641
ID,2012,0.756246819848006,0.408435852372584,0.430281051677244
IL,2012,-0.106006755452237,-0.236860231798988,-0.21600050177975
IN,2012,0.419202556417258,0.0871698995092311,0.110346077187896
KS,2012,0.609330089500914,0.37892968562515,0.394112837285364
KY,2012,0.175338897203385,0.192090857096168,0.208126941482663
LA,2012,0.440496365154403,0.38923134051244,0.410712921219531
MA,2012,-0.149511174523981,-0.450222775402709,-0.441042443415057
MD,2012,-0.221959373002144,-0.411308376000177,-0.397359994471193
ME,2012,-0.598753708943236,-0.43681652490887,-0.42493318660588
MI,2012,0.366054106613339,-0.223084124648923,-0.21442481728412
MN,2012,-0.0522320897314755,-0.107705995749098,-0.088982614957309
MO,2012,0.547778078232934,0.154165401356413,0.178534031413613
MS,2012,0.755311892173021,0.480401867836423,0.500870069605568
MT,2012,0.199589664679105,0.0744875177592856,0.0942441492726123
NC,2012,0.266784503024765,-0.0245488633700492,-0.00216022149876771
ND,2012,0.475233359504493,0.368309110244594,0.370503597122302
NE,2012,0.543231015269247,0.387748452264581,0.41633064516129
NH,2012,0.0675672323684484,-0.101542257865515,-0.0847889838072167
NJ,2012,0.190063591607021,-0.103324937027708,-0.0776262904878241
NM,2012,-0.061273410226905,-0.235246852959557,-0.214172494172494
NV,2012,0.521756665371188,0.248087825069738,0.277460436370447
NY,2012,-0.156538561475737,-0.413271245634459,-0.398159427377406
OH,2012,0.485489052477294,0.160214089711196,0.183519545211494
OK,2012,0.696244748529931,0.428785494867761,0.448206555349413
OR,2012,-0.116524764282356,-0.360744205170376,-0.344246509388541
PA,2012,0.2223222581795,-0.0549894968294168,-0.0378226528784301
RI,2012,-0.0122567783978904,-0.315393939393939,-0.289581205311542
SC,2012,0.403396619381966,0.226846246973366,0.244835918621872
SD,2012,0.716329428860804,0.512614678899083,0.524532710280374
TN,2012,0.472314766375726,0.220734149054505,0.236960985626283
TX,2012,0.534027544904089,0.310119154695517,0.330314505380046
UT,2012,0.771111194993972,0.536392188993582,0.554722320481075
VA,2012,0.231351644979766,-0.0182159435590635,-3.46296360425047e-05
VT,2012,-0.763821094610399,-0.679794181674253,-0.670225872689938
WA,2012,-0.168569263426448,-0.297083562989767,-0.277062113041742
WI,2012,0.338868464859362,0.038657220293852,0.0576224599980366
WV,2012,0.30230608164663,0.112696148359486,0.129707112970711
WY,2012,0.666627030086435,0.3328788911611,0.351187703772706
AK,2016,-0.063674231985153,-0.403096572082656,-0.399680157460942
AL,2016,0.156729105164594,-0.19797075215548,-0.193172739377799
AR,2016,0.285875099740066,-0.430548557223958,-0.425861654238686
AZ,2016,-0.223407005690113,-0.537691298279047,-0.534071542960889
CA,2016,-0.715466841044778,-0.725687867014243,-0.72336274557903
CO,2016,-0.338385472796356,-0.613115584251171,-0.610171692771241
CT,2016,-0.341418639490305,-0.700598663717736,-0.69763599843113
DC,2016,-0.885442354267152,-0.942048456143547,-0.942185021822434
DE,2016,-0.245526002790946,-0.626437507898395,-0.621530698065601
FL,2016,-0.373228356898018,-0.401423417031789,-0.395246574485803
GA,2016,0.15550843655045,-0.44662151333935,-0.441269896373956
HI,2016,-0.469517011823114,-0.653986948909757,-0.645329930432635
IA,2016,-0.162021758642955,-0.559380301812662,-0.559957197823464
ID,2016,0.320113394876861,-0.381258392480338,-0.377916931656964
IL,2016,-0.554555789316165,-0.680988906885066,-0.678712515244061
IN,2016,0.194044934308458,-0.445058240474762,-0.440134200041937
KS,2016,0.319215571832836,-0.463253786396915,-0.458924804743173
KY,2016,0.136253147677482,-0.44265379378636,-0.438293139188028
LA,2016,0.22019330703372,-0.319890704852502,-0.314840141408407
MA,2016,-0.747243115205641,-0.840974090893265,-0.840600356143475
MD,2016,-0.695728811289043,-0.76019787107301,-0.758477357252242
ME,2016,-0.672864341152932,-0.696848698375416,-0.693469961824392
MI,2016,-0.118052592553981,-0.648838982284304,-0.648925880843504
MN,2016,-0.340536903744179,-0.638262417823229,-0.633655592664206
MO,2016,-0.204224194507002,-0.574759647281632,-0.572570135969118
MS,2016,0.552217595474941,0.030583214793741,0.0356277391080175
MT,2016,-0.0432738665482109,-0.400179802217561,-0.395705334874384
NC,2016,-0.174620852831419,-0.539232196865549,-0.535245091114564
ND,2016,0.255125759851852,-0.230202190395956,-0.225523728088927
NE,2016,-0.482332065387357,-0.547087166009636,-0.547044288158145
NH,2016,-0.200393697121126,-0.625585248145214,-0.622848719366132
NJ,2016,-0.363676025410932,-0.707606367655716,-0.705446499781317
NM,2016,-0.354940563708442,-0.64011072084855,-0.636735859836222
NV,2016,0.830133700635211,-0.429459882350611,-0.428820535696182
NY,2016,-0.641826043692129,-0.818648638086678,-0.81754429602765
OH,2016,-0.129007050245375,-0.543616438735972,-0.542366771049079
OK,2016,0.26666653811736,-0.169454346037839,-0.162013772566536
OR,2016,-0.489587226538721,-0.735964402397226,-0.733574615969895
PA,2016,-0.455718424970592,-0.714641778625089,-0.714694474470656
RI,2016,-0.625367779855533,-0.771541171553114,-0.770131861392211
SC,2016,0.0713803544152731,-0.321556155789841,-0.316400839923156
SD,2016,-0.0538141312747136,-0.526488647722405,-0.528714873943509
TN,2016,0.0544941241912165,-0.42510467401521,-0.423313061526627
TX,2016,0.0420977027434537,-0.38912871409405,-0.386045684420081
UT,2016,-0.0909426204337328,-0.489039572345998,-0.487356659805939
VA,2016,-0.394764276219087,-0.587540594730451,-0.586758320855182
VT,2016,-0.629779250620168,-0.7909887359199,-0.785873713010296
WA,2016,-0.476084308469881,-0.706872067177081,-0.706792496550562
WI,2016,0.504703026214646,-0.530928662067356,-0.525092422133417
WV,2016,0.187282112510755,-0.435699588477366,-0.432739699020832
WY,2016,0.13934027057008,-0.210623841877702,-0.200126395618285
AK,2020,0.0994129409169506,0.293185287414006,0.236837252189949
AL,2020,0.672785764031648,0.64453627239639,0.590784605408704
AR,2020,0.605750680489076,0.500863917652105,0.42625589148178
AZ,2020,0.404444155287578,0.39698810950826,0.30056995446257
CA,2020,-0.487766557193688,-0.0234799801147639,-0.112691615415012
CO,2020,-0.184799528464415,0.176481303775027,0.0776498486226902
CT,2020,-0.180365644875408,-0.0896241143268884,-0.180684902346868
